SANTANDER - DITL;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Tax (IOF);;;;;USD;BRL;AC;VC;;;;;;;;;;;;;;;;;
22/05/26 sex;0,00%; 5,38 ;1.397.928,12 ; 266,29 ; 81.293,99 ; 1.398.194,41 ; 313.746,63 ; 6.759.076,07 ; 7.522.006,28 ; 762.930,21 ; 1.192,24 ; 104.582,21 ; -   ; -   ;;;;;;;;;;;;;;
23/05/26 sáb;0,00%; 5,38 ;1.398.194,41 ; 266,34 ; 81.560,33 ; 1.398.460,75 ; 315.179,49 ; 6.760.508,93 ; 7.523.439,14 ; 762.930,21 ; 1.197,68 ; 105.059,83 ; -   ; -   ;;;;;;;;;;;;;;
24/05/26 dom;0,00%; 5,38 ;1.398.460,75 ; 266,39 ; 81.826,72 ; 1.398.727,14 ; 316.612,62 ; 6.761.942,06 ; 7.524.872,27 ; 762.930,21 ; 1.203,13 ; 105.537,54 ; -   ; -   ;;;;;;;;;;;;;;
25/05/26 seg;0,00%; 5,38 ;1.398.727,14 ; 266,44 ; 82.093,17 ; 1.398.993,58 ; 318.046,02 ; 6.763.375,47 ; 7.526.305,67 ; 762.930,21 ; 1.208,57 ; 106.015,34 ; -   ; -   ;;;;;;;;;;;;;;
26/05/26 ter;0,00%; 5,38 ;1.398.993,58 ; 266,49 ; 82.359,66 ; 1.399.260,07 ; 319.479,70 ; 6.764.809,14 ; 7.527.739,35 ; 762.930,21 ; 1.214,02 ; 106.493,23 ; -   ; -   ;;;;;;;;;;;;;;
27/05/26 qua;0,00%; 5,38 ;1.399.260,07 ; 266,54 ; 82.626,20 ; 1.399.526,62 ; 320.913,65 ; 6.766.243,09 ; 7.529.173,30 ; 762.930,21 ; 1.219,47 ; 106.971,22 ; -   ; -   ;;;;;;;;;;;;;;
28/05/26 qui;0,00%; 5,38 ;1.399.526,62 ; 266,59 ; 82.892,80 ; 1.399.793,21 ; 322.347,88 ; 6.767.677,32 ; 7.530.607,52 ; 762.930,21 ; 1.224,92 ; 107.449,29 ; -   ; -   ;;;;;;;;;;;;;;
29/05/26 sex;0,00%; 5,38 ;1.399.793,21 ; 266,64 ; 83.159,44 ; 1.400.059,86 ; 323.782,37 ; 6.769.111,81 ; 7.532.042,02 ; 762.930,21 ; 1.230,37 ; 107.927,46 ; -   ; -   ;;;;;;;;;;;;;;
30/05/26 sáb;0,00%; 5,38 ;1.400.059,86 ; 266,70 ; 83.426,14 ; 1.400.326,55 ; 325.217,14 ; 6.770.546,58 ; 7.533.476,79 ; 762.930,21 ; 1.235,83 ; 108.405,71 ; -   ; -   ;;;;;;;;;;;;;;
31/05/26 dom;0,00%; 5,38 ;1.400.326,55 ; 266,75 ; 83.692,88 ; 1.400.593,30 ; 326.652,19 ; 6.771.981,63 ; 7.534.911,83 ; 762.930,21 ; 1.241,28 ; 108.884,06 ; -   ; -   ;;;;;;;;;;;;;;
01/06/26 seg;0,00%; 5,38 ;1.400.593,30 ; 266,80 ; 83.959,68 ; 1.400.860,10 ; 328.087,50 ; 6.773.416,94 ; 7.536.347,15 ; 762.930,21 ; 1.246,73 ; 109.362,50 ; -   ; -   ;;;;;;;;;;;;;;
02/06/26 ter;0,00%; 5,38 ;1.400.860,10 ; 266,85 ; 84.226,53 ; 1.401.126,95 ; 329.523,09 ; 6.774.852,53 ; 7.537.782,74 ; 762.930,21 ; 1.252,19 ; 109.841,03 ; -   ; -   ;;;;;;;;;;;;;;
03/06/26 qua;0,00%; 5,38 ;1.401.126,95 ; 266,90 ; 84.493,43 ; 1.401.393,84 ; 330.958,96 ; 6.776.288,40 ; 7.539.218,60 ; 762.930,21 ; 1.257,64 ; 110.319,65 ; -   ; -   ;;;;;;;;;;;;;;
04/06/26 qui;0,00%; 5,38 ;1.401.393,84 ; 266,95 ; 84.760,38 ; 1.401.660,79 ; 332.395,09 ; 6.777.724,53 ; 7.540.654,74 ; 762.930,21 ; 1.263,10 ; 110.798,36 ; -   ; -   ;;;;;;;;;;;;;;
05/06/26 sex;0,00%; 5,38 ;1.401.660,79 ; 267,00 ; 85.027,38 ; 1.401.927,79 ; 333.831,50 ; 6.779.160,94 ; 7.542.091,15 ; 762.930,21 ; 1.268,56 ; 111.277,17 ; -   ; -   ;;;;;;;;;;;;;;
06/06/26 sáb;0,00%; 5,38 ;1.401.927,79 ; 267,05 ; 85.294,43 ; 1.402.194,85 ; 335.268,19 ; 6.780.597,63 ; 7.543.527,83 ; 762.930,21 ; 1.274,02 ; 111.756,06 ; -   ; -   ;;;;;;;;;;;;;;
07/06/26 dom;0,00%; 5,38 ;1.402.194,85 ; 267,10 ; 85.561,53 ; 1.402.461,95 ; 336.705,14 ; 6.782.034,59 ; 7.544.964,79 ; 762.930,21 ; 1.279,48 ; 112.235,05 ; -   ; -   ;;;;;;;;;;;;;;
08/06/26 seg;0,00%; 5,38 ;1.402.461,95 ; 267,15 ; 85.828,69 ; 1.402.729,10 ; 338.142,38 ; 6.783.471,82 ; 7.546.402,02 ; 762.930,21 ; 1.284,94 ; 112.714,13 ; -   ; -   ;;;;;;;;;;;;;;
09/06/26 ter;0,00%; 5,38 ;1.402.729,10 ; 267,20 ; 86.095,89 ; 1.402.996,31 ; 339.579,88 ; 6.784.909,32 ; 7.547.839,53 ; 762.930,21 ; 1.290,40 ; 113.193,29 ; -   ; -   ;;;;;;;;;;;;;;
10/06/26 qua;0,00%; 5,38 ;1.402.996,31 ; 267,26 ; 86.363,15 ; 1.403.263,56 ; 341.017,66 ; 6.786.347,10 ; 7.549.277,31 ; 762.930,21 ; 1.295,87 ; 113.672,55 ; -   ; -   ;;;;;;;;;;;;;;
11/06/26 qui;0,00%; 5,38 ;1.403.263,56 ; 267,31 ; 86.630,45 ; 1.403.530,87 ; 342.455,71 ; 6.787.785,16 ; 7.550.715,36 ; 762.930,21 ; 1.301,33 ; 114.151,90 ; -   ; -   ;;;;;;;;;;;;;;
12/06/26 sex;0,00%; 5,38 ;1.403.530,87 ; 267,36 ; 86.897,81 ; 1.403.798,22 ; 343.894,04 ; 6.789.223,48 ; 7.552.153,69 ; 762.930,21 ; 1.306,80 ; 114.631,35 ; -   ; -   ;;;;;;;;;;;;;;
13/06/26 sáb;0,00%; 5,38 ;1.403.798,22 ; 267,41 ; 87.165,22 ; 1.404.065,63 ; 345.332,64 ; 6.790.662,08 ; 7.553.592,29 ; 762.930,21 ; 1.312,26 ; 115.110,88 ; -   ; -   ;;;;;;;;;;;;;;
14/06/26 dom;0,00%; 5,38 ;1.404.065,63 ; 267,46 ; 87.432,68 ; 1.404.333,09 ; 346.771,52 ; 6.792.100,96 ; 7.555.031,16 ; 762.930,21 ; 1.317,73 ; 115.590,51 ; -   ; -   ;;;;;;;;;;;;;;
15/06/26 seg;0,00%; 5,38 ;1.404.333,09 ; 267,51 ; 87.700,19 ; 1.404.600,60 ; 348.210,67 ; 6.793.540,11 ; 7.556.470,31 ; 762.930,21 ; 1.323,20 ; 116.070,22 ; -   ; -   ;;;;;;;;;;;;;;
16/06/26 ter;0,00%; 5,38 ;1.404.600,60 ; 267,56 ; 87.967,75 ; 1.404.868,16 ; 349.650,09 ; 6.794.979,53 ; 7.557.909,74 ; 762.930,21 ; 1.328,67 ; 116.550,03 ; -   ; -   ;;;;;;;;;;;;;;
17/06/26 qua;0,00%; 5,38 ;1.404.868,16 ; 267,61 ; 88.235,36 ; 1.405.135,77 ; 351.089,79 ; 6.796.419,23 ; 7.559.349,43 ; 762.930,21 ; 1.334,14 ; 117.029,93 ; -   ; -   ;;;;;;;;;;;;;;
18/06/26 qui;0,00%; 5,38 ;1.405.135,77 ; 267,66 ; 88.503,02 ; 1.405.403,44 ; 352.529,76 ; 6.797.859,20 ; 7.560.789,41 ; 762.930,21 ; 1.339,61 ; 117.509,92 ; -   ; -   ;;;;;;;;;;;;;;
19/06/26 sex;0,00%; 5,38 ;1.405.403,44 ; 267,71 ; 88.770,73 ; 1.405.671,15 ; 353.970,00 ; 6.799.299,45 ; 7.562.229,65 ; 762.930,21 ; 1.345,09 ; 117.990,00 ; -   ; -   ;;;;;;;;;;;;;;
20/06/26 sáb;0,00%; 5,38 ;1.405.671,15 ; 267,76 ; 89.038,50 ; 1.405.938,91 ; 355.410,52 ; 6.800.739,97 ; 7.563.670,17 ; 762.930,21 ; 1.350,56 ; 118.470,17 ; -   ; -   ;;;;;;;;;;;;;;
21/06/26 dom;0,00%; 5,38 ;1.405.938,91 ; 267,82 ; 89.306,31 ; 1.406.206,73 ; 356.851,32 ; 6.802.180,76 ; 7.565.110,97 ; 762.930,21 ; 1.356,04 ; 118.950,44 ; -   ; -   ;;;;;;;;;;;;;;
22/06/26 seg;0,00%; 5,38 ;1.406.206,73 ; 267,87 ; 89.574,18 ; 1.406.474,60 ; 358.292,39 ; 6.803.621,83 ; 7.566.552,04 ; 762.930,21 ; 1.361,51 ; 119.430,80 ; -   ; -   ;;;;;;;;;;;;;;
23/06/26 ter;0,00%; 5,38 ;1.406.474,60 ; 267,92 ; 89.842,10 ; 1.406.742,51 ; 359.733,73 ; 6.805.063,17 ; 7.567.993,38 ; 762.930,21 ; 1.366,99 ; 119.911,24 ; -   ; -   ;;;;;;;;;;;;;;
24/06/26 qua;0,00%; 5,38 ;1.406.742,51 ; 267,97 ; 90.110,07 ; 1.407.010,48 ; 361.175,35 ; 6.806.504,79 ; 7.569.435,00 ; 762.930,21 ; 1.372,47 ; 120.391,78 ; -   ; -   ;;;;;;;;;;;;;;
25/06/26 qui;0,00%; 5,38 ;1.407.010,48 ; 268,02 ; 90.378,09 ; 1.407.278,50 ; 362.617,24 ; 6.807.946,68 ; 7.570.876,89 ; 762.930,21 ; 1.377,95 ; 120.872,41 ; -   ; -   ;;;;;;;;;;;;;;
26/06/26 sex;0,00%; 5,38 ;1.407.278,50 ; 268,07 ; 90.646,16 ; 1.407.546,57 ; 364.059,41 ; 6.809.388,85 ; 7.572.319,06 ; 762.930,21 ; 1.383,43 ; 121.353,14 ; -   ; -   ;;;;;;;;;;;;;;
27/06/26 sáb;0,00%; 5,38 ;1.407.546,57 ; 268,12 ; 90.914,28 ; 1.407.814,70 ; 365.501,85 ; 6.810.831,29 ; 7.573.761,50 ; 762.930,21 ; 1.388,91 ; 121.833,95 ; -   ; -   ;;;;;;;;;;;;;;
28/06/26 dom;0,00%; 5,38 ;1.407.814,70 ; 268,17 ; 91.182,45 ; 1.408.082,87 ; 366.944,57 ; 6.812.274,01 ; 7.575.204,22 ; 762.930,21 ; 1.394,39 ; 122.314,86 ; -   ; -   ;;;;;;;;;;;;;;
29/06/26 seg;0,00%; 5,38 ;1.408.082,87 ; 268,22 ; 91.450,68 ; 1.408.351,09 ; 368.387,56 ; 6.813.717,00 ; 7.576.647,21 ; 762.930,21 ; 1.399,87 ; 122.795,85 ; -   ; -   ;;;;;;;;;;;;;;
30/06/26 ter;0,00%; 5,38 ;1.408.351,09 ; 268,28 ; 91.718,95 ; 1.408.619,37 ; 369.830,83 ; 6.815.160,27 ; 7.578.090,47 ; 762.930,21 ; 1.405,36 ; 123.276,94 ; -   ; -   ;;;;;;;;;;;;;;
01/07/26 qua;0,00%; 5,38 ;1.408.619,37 ; 268,33 ; 91.987,28 ; 1.408.887,69 ; 371.274,37 ; 6.816.603,81 ; 7.579.534,02 ; 762.930,21 ; 1.410,84 ; 123.758,12 ; -   ; -   ;;;;;;;;;;;;;;
02/07/26 qui;0,00%; 5,38 ;1.408.887,69 ; 268,38 ; 92.255,66 ; 1.409.156,07 ; 372.718,19 ; 6.818.047,63 ; 7.580.977,83 ; 762.930,21 ; 1.416,33 ; 124.239,40 ; -   ; -   ;;;;;;;;;;;;;;
03/07/26 sex;0,00%; 5,38 ;1.409.156,07 ; 268,43 ; 92.524,08 ; 1.409.424,50 ; 374.162,28 ; 6.819.491,72 ; 7.582.421,92 ; 762.930,21 ; 1.421,82 ; 124.720,76 ; -   ; -   ;;;;;;;;;;;;;;
04/07/26 sáb;0,00%; 5,38 ;1.409.424,50 ; 268,48 ; 92.792,56 ; 1.409.692,98 ; 375.606,64 ; 6.820.936,09 ; 7.583.866,29 ; 762.930,21 ; 1.427,31 ; 125.202,21 ; -   ; -   ;;;;;;;;;;;;;;
05/07/26 dom;0,00%; 5,38 ;1.409.692,98 ; 268,53 ; 93.061,10 ; 1.409.961,51 ; 377.051,29 ; 6.822.380,73 ; 7.585.310,93 ; 762.930,21 ; 1.432,79 ; 125.683,76 ; -   ; -   ;;;;;;;;;;;;;;
06/07/26 seg;0,00%; 5,38 ;1.409.961,51 ; 268,58 ; 93.329,68 ; 1.410.230,09 ; 378.496,20 ; 6.823.825,64 ; 7.586.755,85 ; 762.930,21 ; 1.438,29 ; 126.165,40 ; -   ; -   ;;;;;;;;;;;;;;
07/07/26 ter;0,00%; 5,38 ;1.410.230,09 ; 268,63 ; 93.598,31 ; 1.410.498,73 ; 379.941,40 ; 6.825.270,84 ; 7.588.201,04 ; 762.930,21 ; 1.443,78 ; 126.647,13 ; -   ; -   ;;;;;;;;;;;;;;
08/07/26 qua;0,00%; 5,38 ;1.410.498,73 ; 268,68 ; 93.866,99 ; 1.410.767,41 ; 381.386,86 ; 6.826.716,30 ; 7.589.646,51 ; 762.930,21 ; 1.449,27 ; 127.128,95 ; -   ; -   ;;;;;;;;;;;;;;
09/07/26 qui;0,00%; 5,38 ;1.410.767,41 ; 268,74 ; 94.135,73 ; 1.411.036,15 ; 382.832,61 ; 6.828.162,05 ; 7.591.092,25 ; 762.930,21 ; 1.454,76 ; 127.610,87 ; -   ; -   ;;;;;;;;;;;;;;
10/07/26 sex;0,00%; 5,38 ;1.411.036,15 ; 268,79 ; 94.404,52 ; 1.411.304,93 ; 384.278,62 ; 6.829.608,07 ; 7.592.538,27 ; 762.930,21 ; 1.460,26 ; 128.092,87 ; -   ; -   ;;;;;;;;;;;;;;
11/07/26 sáb;0,00%; 5,38 ;1.411.304,93 ; 268,84 ; 94.673,35 ; 1.411.573,77 ; 385.724,92 ; 6.831.054,36 ; 7.593.984,56 ; 762.930,21 ; 1.465,75 ; 128.574,97 ; -   ; -   ;;;;;;;;;;;;;;
12/07/26 dom;0,00%; 5,38 ;1.411.573,77 ; 268,89 ; 94.942,24 ; 1.411.842,66 ; 387.171,49 ; 6.832.500,93 ; 7.595.431,13 ; 762.930,21 ; 1.471,25 ; 129.057,16 ; -   ; -   ;;;;;;;;;;;;;;
13/07/26 seg;0,00%; 5,38 ;1.411.842,66 ; 268,94 ; 95.211,18 ; 1.412.111,60 ; 388.618,33 ; 6.833.947,77 ; 7.596.877,98 ; 762.930,21 ; 1.476,75 ; 129.539,44 ; -   ; -   ;;;;;;;;;;;;;;
14/07/26 ter;0,00%; 5,38 ;1.412.111,60 ; 268,99 ; 95.480,18 ; 1.412.380,59 ; 390.065,45 ; 6.835.394,89 ; 7.598.325,10 ; 762.930,21 ; 1.482,25 ; 130.021,82 ; -   ; -   ;;;;;;;;;;;;;;
15/07/26 qua;0,00%; 5,38 ;1.412.380,59 ; 269,04 ; 95.749,22 ; 1.412.649,63 ; 391.512,85 ; 6.836.842,29 ; 7.599.772,50 ; 762.930,21 ; 1.487,75 ; 130.504,28 ; -   ; -   ;;;;;;;;;;;;;;
16/07/26 qui;0,00%; 5,38 ;1.412.649,63 ; 269,09 ; 96.018,31 ; 1.412.918,73 ; 392.960,52 ; 6.838.289,96 ; 7.601.220,17 ; 762.930,21 ; 1.493,25 ; 130.986,84 ; -   ; -   ;;;;;;;;;;;;;;
17/07/26 sex;0,00%; 5,38 ;1.412.918,73 ; 269,15 ; 96.287,46 ; 1.413.187,87 ; 394.408,47 ; 6.839.737,91 ; 7.602.668,11 ; 762.930,21 ; 1.498,75 ; 131.469,49 ; -   ; -   ;;;;;;;;;;;;;;
18/07/26 sáb;0,00%; 5,38 ;1.413.187,87 ; 269,20 ; 96.556,65 ; 1.413.457,07 ; 395.856,69 ; 6.841.186,13 ; 7.604.116,34 ; 762.930,21 ; 1.504,26 ; 131.952,23 ; -   ; -   ;;;;;;;;;;;;;;
19/07/26 dom;0,00%; 5,38 ;1.413.457,07 ; 269,25 ; 96.825,90 ; 1.413.726,32 ; 397.305,19 ; 6.842.634,63 ; 7.605.564,84 ; 762.930,21 ; 1.509,76 ; 132.435,06 ; -   ; -   ;;;;;;;;;;;;;;
20/07/26 seg;0,00%; 5,38 ;1.413.726,32 ; 269,30 ; 97.095,20 ; 1.413.995,62 ; 398.753,97 ; 6.844.083,41 ; 7.607.013,61 ; 762.930,21 ; 1.515,27 ; 132.917,99 ; -   ; -   ;;;;;;;;;;;;;;
21/07/26 ter;0,00%; 5,38 ;1.413.995,62 ; 269,35 ; 97.364,55 ; 1.414.264,97 ; 400.203,02 ; 6.845.532,46 ; 7.608.462,66 ; 762.930,21 ; 1.520,77 ; 133.401,01 ; -   ; -   ;;;;;;;;;;;;;;
22/07/26 qua;0,00%; 5,38 ;1.414.264,97 ; 269,40 ; 97.633,95 ; 1.414.534,37 ; 401.652,34 ; 6.846.981,79 ; 7.609.911,99 ; 762.930,21 ; 1.526,28 ; 133.884,11 ; -   ; -   ;;;;;;;;;;;;;;
23/07/26 qui;0,00%; 5,38 ;1.414.534,37 ; 269,45 ; 97.903,41 ; 1.414.803,82 ; 403.101,95 ; 6.848.431,39 ; 7.611.361,59 ; 762.930,21 ; 1.531,79 ; 134.367,32 ; -   ; -   ;;;;;;;;;;;;;;
24/07/26 sex;0,00%; 5,38 ;1.414.803,82 ; 269,50 ; 98.172,91 ; 1.415.073,32 ; 404.551,83 ; 6.849.881,27 ; 7.612.811,47 ; 762.930,21 ; 1.537,30 ; 134.850,61 ; -   ; -   ;;;;;;;;;;;;;;
25/07/26 sáb;0,00%; 5,38 ;1.415.073,32 ; 269,56 ; 98.442,47 ; 1.415.342,88 ; 406.001,98 ; 6.851.331,42 ; 7.614.261,63 ; 762.930,21 ; 1.542,81 ; 135.333,99 ; -   ; -   ;;;;;;;;;;;;;;
26/07/26 dom;0,00%; 5,38 ;1.415.342,88 ; 269,61 ; 98.712,07 ; 1.415.612,49 ; 407.452,41 ; 6.852.781,86 ; 7.615.712,06 ; 762.930,21 ; 1.548,32 ; 135.817,47 ; -   ; -   ;;;;;;;;;;;;;;
27/07/26 seg;0,00%; 5,38 ;1.415.612,49 ; 269,66 ; 98.981,73 ; 1.415.882,15 ; 408.903,12 ; 6.854.232,56 ; 7.617.162,77 ; 762.930,21 ; 1.553,83 ; 136.301,04 ; -   ; -   ;;;;;;;;;;;;;;
28/07/26 ter;0,00%; 5,38 ;1.415.882,15 ; 269,71 ; 99.251,44 ; 1.416.151,86 ; 410.354,11 ; 6.855.683,55 ; 7.618.613,75 ; 762.930,21 ; 1.559,35 ; 136.784,70 ; -   ; -   ;;;;;;;;;;;;;;
29/07/26 qua;0,00%; 5,38 ;1.416.151,86 ; 269,76 ; 99.521,20 ; 1.416.421,62 ; 411.805,37 ; 6.857.134,81 ; 7.620.065,01 ; 762.930,21 ; 1.564,86 ; 137.268,46 ; -   ; -   ;;;;;;;;;;;;;;
30/07/26 qui;0,00%; 5,38 ;1.416.421,62 ; 269,81 ; 99.791,01 ; 1.416.691,43 ; 413.256,90 ; 6.858.586,35 ; 7.621.516,55 ; 762.930,21 ; 1.570,38 ; 137.752,30 ; -   ; -   ;;;;;;;;;;;;;;
31/07/26 sex;0,00%; 5,38 ;1.416.691,43 ; 269,86 ; 100.060,88 ; 1.416.961,29 ; 414.708,72 ; 6.860.038,16 ; 7.622.968,37 ; 762.930,21 ; 1.575,89 ; 138.236,24 ; -   ; -   ;;;;;;;;;;;;;;
01/08/26 sáb;0,00%; 5,38 ;1.416.961,29 ; 269,92 ; 100.330,79 ; 1.417.231,21 ; 416.160,81 ; 6.861.490,25 ; 7.624.420,46 ; 762.930,21 ; 1.581,41 ; 138.720,27 ; -   ; -   ;;;;;;;;;;;;;;
02/08/26 dom;0,00%; 5,38 ;1.417.231,21 ; 269,97 ; 100.600,76 ; 1.417.501,18 ; 417.613,18 ; 6.862.942,62 ; 7.625.872,82 ; 762.930,21 ; 1.586,93 ; 139.204,39 ; -   ; -   ;;;;;;;;;;;;;;
03/08/26 seg;0,00%; 5,38 ;1.417.501,18 ; 270,02 ; 100.870,78 ; 1.417.771,19 ; 419.065,82 ; 6.864.395,26 ; 7.627.325,47 ; 762.930,21 ; 1.592,45 ; 139.688,61 ; -   ; -   ;;;;;;;;;;;;;;
04/08/26 ter;0,00%; 5,38 ;1.417.771,19 ; 270,07 ; 101.140,85 ; 1.418.041,26 ; 420.518,74 ; 6.865.848,18 ; 7.628.778,39 ; 762.930,21 ; 1.597,97 ; 140.172,91 ; -   ; -   ;;;;;;;;;;;;;;
05/08/26 qua;0,00%; 5,38 ;1.418.041,26 ; 270,12 ; 101.410,97 ; 1.418.311,38 ; 421.971,94 ; 6.867.301,38 ; 7.630.231,58 ; 762.930,21 ; 1.603,49 ; 140.657,31 ; -   ; -   ;;;;;;;;;;;;;;
06/08/26 qui;0,00%; 5,38 ;1.418.311,38 ; 270,17 ; 101.681,14 ; 1.418.581,56 ; 423.425,41 ; 6.868.754,85 ; 7.631.685,06 ; 762.930,21 ; 1.609,02 ; 141.141,80 ; -   ; -   ;;;;;;;;;;;;;;
07/08/26 sex;0,00%; 5,38 ;1.418.581,56 ; 270,22 ; 101.951,37 ; 1.418.851,78 ; 424.879,16 ; 6.870.208,60 ; 7.633.138,81 ; 762.930,21 ; 1.614,54 ; 141.626,39 ; -   ; -   ;;;;;;;;;;;;;;
08/08/26 sáb;0,00%; 5,38 ;1.418.851,78 ; 270,28 ; 102.221,64 ; 1.419.122,06 ; 426.333,19 ; 6.871.662,63 ; 7.634.592,84 ; 762.930,21 ; 1.620,07 ; 142.111,06 ; -   ; -   ;;;;;;;;;;;;;;
09/08/26 dom;0,00%; 5,38 ;1.419.122,06 ; 270,33 ; 102.491,97 ; 1.419.392,38 ; 427.787,49 ; 6.873.116,93 ; 7.636.047,14 ; 762.930,21 ; 1.625,59 ; 142.595,83 ; -   ; -   ;;;;;;;;;;;;;;
10/08/26 seg;0,00%; 5,38 ;1.419.392,38 ; 270,38 ; 102.762,35 ; 1.419.662,76 ; 429.242,07 ; 6.874.571,52 ; 7.637.501,72 ; 762.930,21 ; 1.631,12 ; 143.080,69 ; -   ; -   ;;;;;;;;;;;;;;
11/08/26 ter;0,00%; 5,38 ;1.419.662,76 ; 270,43 ; 103.032,78 ; 1.419.933,19 ; 430.696,93 ; 6.876.026,38 ; 7.638.956,58 ; 762.930,21 ; 1.636,65 ; 143.565,64 ; -   ; -   ;;;;;;;;;;;;;;
12/08/26 qua;0,00%; 5,38 ;1.419.933,19 ; 270,48 ; 103.303,26 ; 1.420.203,67 ; 432.152,07 ; 6.877.481,51 ; 7.640.411,72 ; 762.930,21 ; 1.642,18 ; 144.050,69 ; -   ; -   ;;;;;;;;;;;;;;
13/08/26 qui;0,00%; 5,38 ;1.420.203,67 ; 270,53 ; 103.573,79 ; 1.420.474,21 ; 433.607,48 ; 6.878.936,92 ; 7.641.867,13 ; 762.930,21 ; 1.647,71 ; 144.535,83 ; -   ; -   ;;;;;;;;;;;;;;
14/08/26 sex;0,00%; 5,38 ;1.420.474,21 ; 270,58 ; 103.844,37 ; 1.420.744,79 ; 435.063,17 ; 6.880.392,61 ; 7.643.322,82 ; 762.930,21 ; 1.653,24 ; 145.021,06 ; -   ; -   ;;;;;;;;;;;;;;
15/08/26 sáb;0,00%; 5,38 ;1.420.744,79 ; 270,64 ; 104.115,01 ; 1.421.015,43 ; 436.519,14 ; 6.881.848,58 ; 7.644.778,79 ; 762.930,21 ; 1.658,77 ; 145.506,38 ; -   ; -   ;;;;;;;;;;;;;;
16/08/26 dom;0,00%; 5,38 ;1.421.015,43 ; 270,69 ; 104.385,70 ; 1.421.286,11 ; 437.975,39 ; 6.883.304,83 ; 7.646.235,03 ; 762.930,21 ; 1.664,31 ; 145.991,80 ; -   ; -   ;;;;;;;;;;;;;;
17/08/26 seg;0,00%; 5,38 ;1.421.286,11 ; 270,74 ; 104.656,44 ; 1.421.556,85 ; 439.431,91 ; 6.884.761,35 ; 7.647.691,56 ; 762.930,21 ; 1.669,84 ; 146.477,30 ; -   ; -   ;;;;;;;;;;;;;;
18/08/26 ter;0,00%; 5,38 ;1.421.556,85 ; 270,79 ; 104.927,23 ; 1.421.827,64 ; 440.888,71 ; 6.886.218,15 ; 7.649.148,36 ; 762.930,21 ; 1.675,38 ; 146.962,90 ; -   ; -   ;;;;;;;;;;;;;;
19/08/26 qua;0,00%; 5,38 ;1.421.827,64 ; 270,84 ; 105.198,07 ; 1.422.098,49 ; 442.345,79 ; 6.887.675,23 ; 7.650.605,43 ; 762.930,21 ; 1.680,91 ; 147.448,60 ; -   ; -   ;;;;;;;;;;;;;;
20/08/26 qui;0,00%; 5,38 ;1.422.098,49 ; 270,89 ; 105.468,96 ; 1.422.369,38 ; 443.803,14 ; 6.889.132,58 ; 7.652.062,79 ; 762.930,21 ; 1.686,45 ; 147.934,38 ; -   ; -   ;;;;;;;;;;;;;;
21/08/26 sex;0,00%; 5,38 ;1.422.369,38 ; 270,95 ; 105.739,91 ; 1.422.640,32 ; 445.260,77 ; 6.890.590,21 ; 7.653.520,42 ; 762.930,21 ; 1.691,99 ; 148.420,26 ; -   ; -   ;;;;;;;;;;;;;;
22/08/26 sáb;0,00%; 5,38 ;1.422.640,32 ; 271,00 ; 106.010,91 ; 1.422.911,32 ; 446.718,68 ; 6.892.048,12 ; 7.654.978,33 ; 762.930,21 ; 1.697,53 ; 148.906,23 ; -   ; -   ;;;;;;;;;;;;;;
23/08/26 dom;0,00%; 5,38 ;1.422.911,32 ; 271,05 ; 106.281,96 ; 1.423.182,37 ; 448.176,87 ; 6.893.506,31 ; 7.656.436,52 ; 762.930,21 ; 1.703,07 ; 149.392,29 ; -   ; -   ;;;;;;;;;;;;;;
24/08/26 seg;0,00%; 5,38 ;1.423.182,37 ; 271,10 ; 106.553,06 ; 1.423.453,47 ; 449.635,34 ; 6.894.964,78 ; 7.657.894,98 ; 762.930,21 ; 1.708,61 ; 149.878,45 ; -   ; -   ;;;;;;;;;;;;;;
25/08/26 ter;0,00%; 5,38 ;1.423.453,47 ; 271,15 ; 106.824,21 ; 1.423.724,62 ; 451.094,08 ; 6.896.423,52 ; 7.659.353,73 ; 762.930,21 ; 1.714,16 ; 150.364,69 ; -   ; -   ;;;;;;;;;;;;;;
26/08/26 qua;0,00%; 5,38 ;1.423.724,62 ; 271,20 ; 107.095,41 ; 1.423.995,83 ; 452.553,10 ; 6.897.882,54 ; 7.660.812,75 ; 762.930,21 ; 1.719,70 ; 150.851,03 ; -   ; -   ;;;;;;;;;;;;;;
27/08/26 qui;0,00%; 5,38 ;1.423.995,83 ; 271,26 ; 107.366,67 ; 1.424.267,08 ; 454.012,40 ; 6.899.341,84 ; 7.662.272,05 ; 762.930,21 ; 1.725,25 ; 151.337,47 ; -   ; -   ;;;;;;;;;;;;;;
28/08/26 sex;0,00%; 5,38 ;1.424.267,08 ; 271,31 ; 107.637,97 ; 1.424.538,39 ; 455.471,98 ; 6.900.801,42 ; 7.663.731,62 ; 762.930,21 ; 1.730,79 ; 151.823,99 ; -   ; -   ;;;;;;;;;;;;;;
29/08/26 sáb;0,00%; 5,38 ;1.424.538,39 ; 271,36 ; 107.909,33 ; 1.424.809,75 ; 456.931,83 ; 6.902.261,27 ; 7.665.191,48 ; 762.930,21 ; 1.736,34 ; 152.310,61 ; -   ; -   ;;;;;;;;;;;;;;
